ts,route_id,price,carrier,stops,duration_min,outbound_stops,outbound_duration_min,outbound_depart,outbound_arrive,return_stops,return_duration_min,return_depart,return_arrive,return_routing,full_read,provider,currency
2026-09-12T06:45:04.958444+00:00,fri14_sun23_hnd_kix,1323.0,United,1,1475,1,860,,,0,615,,,KIX-SFO,True,serpapi,USD
2026-09-12T06:45:04.958444+00:00,thu13_sun23_hnd_kix,1323.0,United,1,1475,1,860,,,0,615,,,KIX-SFO,True,serpapi,USD
2026-09-12T06:45:04.958444+00:00,fri14_mon24_hnd_kix,1315.0,United out / Philippine Airlines back,1,2175,1,860,,,1,1315,,,KIX-MNL-SFO,True,serpapi,USD
2026-09-12T06:45:04.958444+00:00,fri14_sun23_rt_hnd,1312.0,United,,,1,860,,,,,,,,False,serpapi,USD
2026-09-12T06:45:04.958444+00:00,fri14_sun23_rt_hnd_ns,1626.0,United,0,1275,0,690,,,0,585,,,HND-SFO,True,serpapi,USD
2026-09-12T06:45:04.958444+00:00,fri14_sun23_hnd_kix_ns,1579.0,United,0,1305,0,690,,,0,615,,,KIX-SFO,True,serpapi,USD
2026-09-12T06:45:04.958444+00:00,thu13_sun23_hnd_kix_ns,1369.0,United,0,1305,0,690,,,0,615,,,KIX-SFO,True,serpapi,USD
2026-09-12T06:45:04.958444+00:00,fri14_mon24_hnd_kix_ns,1579.0,United,0,1305,0,690,,,0,615,,,KIX-SFO,True,serpapi,USD
2026-09-13T17:22:47.856000+00:00,fri14_sun23_hnd_kix,1323.0,United,1,1475,1,860,2027-05-14 08:45,2027-05-15 15:05,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-13T17:22:47.856000+00:00,thu13_sun23_hnd_kix,1323.0,United,1,1475,1,860,2027-05-13 08:45,2027-05-14 15:05,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-13T17:22:47.856000+00:00,fri14_mon24_hnd_kix,1321.0,United out / Philippine Airlines back,1,2175,1,860,2027-05-14 08:45,2027-05-15 15:05,1,1315,2027-05-24 15:15,2027-05-24 21:10,KIX-MNL-SFO,True,serpapi,USD
2026-09-13T17:22:47.856000+00:00,fri14_sun23_rt_hnd,1312.0,United,,,1,860,2027-05-14 08:45,2027-05-15 15:05,,,,,,False,serpapi,USD
2026-09-13T17:22:47.856000+00:00,fri14_sun23_rt_hnd_ns,1577.0,United,0,1275,0,690,2027-05-14 10:25,2027-05-15 13:55,0,585,2027-05-23 15:50,2027-05-23 09:35,HND-SFO,True,serpapi,USD
2026-09-13T17:22:47.856000+00:00,fri14_sun23_hnd_kix_ns,1530.0,United,0,1305,0,690,2027-05-14 10:25,2027-05-15 13:55,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-13T17:22:47.856000+00:00,thu13_sun23_hnd_kix_ns,1369.0,United,0,1305,0,690,2027-05-13 10:25,2027-05-14 13:55,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-13T17:22:47.856000+00:00,fri14_mon24_hnd_kix_ns,1530.0,United,0,1305,0,690,2027-05-14 10:25,2027-05-15 13:55,0,615,2027-05-24 16:55,2027-05-24 11:10,KIX-SFO,True,serpapi,USD
2026-09-15T18:07:49.163011+00:00,fri14_sun23_hnd_kix,1323.0,United,1,1475,1,860,2027-05-14 08:45,2027-05-15 15:05,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-15T18:07:49.163011+00:00,thu13_sun23_hnd_kix,1323.0,United,1,1475,1,860,2027-05-13 08:45,2027-05-14 15:05,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-15T18:07:49.163011+00:00,fri14_mon24_hnd_kix,1323.0,United,1,1475,1,860,2027-05-14 08:45,2027-05-15 15:05,0,615,2027-05-24 16:55,2027-05-24 11:10,KIX-SFO,True,serpapi,USD
2026-09-15T18:07:49.163011+00:00,fri14_sun23_rt_hnd,1312.0,United,,,1,860,2027-05-14 08:45,2027-05-15 15:05,,,,,,False,serpapi,USD
2026-09-15T18:07:49.163011+00:00,fri14_sun23_rt_hnd_ns,1577.0,United,0,1275,0,690,2027-05-14 10:25,2027-05-15 13:55,0,585,2027-05-23 15:50,2027-05-23 09:35,HND-SFO,True,serpapi,USD
2026-09-15T18:07:49.163011+00:00,fri14_sun23_hnd_kix_ns,1530.0,United,0,1305,0,690,2027-05-14 10:25,2027-05-15 13:55,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-15T18:07:49.163011+00:00,thu13_sun23_hnd_kix_ns,1369.0,United,0,1305,0,690,2027-05-13 10:25,2027-05-14 13:55,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-15T18:07:49.163011+00:00,fri14_mon24_hnd_kix_ns,1530.0,United,0,1305,0,690,2027-05-14 10:25,2027-05-15 13:55,0,615,2027-05-24 16:55,2027-05-24 11:10,KIX-SFO,True,serpapi,USD
2026-09-17T18:08:57.670834+00:00,fri14_sun23_hnd_kix,1323.0,United,1,1475,1,860,2027-05-14 08:45,2027-05-15 15:05,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-17T18:08:57.670834+00:00,thu13_sun23_hnd_kix,1323.0,United,1,1475,1,860,2027-05-13 08:45,2027-05-14 15:05,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-17T18:08:57.670834+00:00,fri14_mon24_hnd_kix,1323.0,United,1,1475,1,860,2027-05-14 08:45,2027-05-15 15:05,0,615,2027-05-24 16:55,2027-05-24 11:10,KIX-SFO,True,serpapi,USD
2026-09-17T18:08:57.670834+00:00,fri14_sun23_rt_hnd,1311.0,United,,,1,860,2027-05-14 08:45,2027-05-15 15:05,,,,,,False,serpapi,USD
2026-09-17T18:08:57.670834+00:00,fri14_sun23_rt_hnd_ns,1672.0,United,0,1275,0,690,2027-05-14 10:25,2027-05-15 13:55,0,585,2027-05-23 15:50,2027-05-23 09:35,HND-SFO,True,serpapi,USD
2026-09-17T18:08:57.670834+00:00,fri14_sun23_hnd_kix_ns,1625.0,United,0,1305,0,690,2027-05-14 10:25,2027-05-15 13:55,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-17T18:08:57.670834+00:00,thu13_sun23_hnd_kix_ns,1369.0,United,0,1305,0,690,2027-05-13 10:25,2027-05-14 13:55,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-17T18:08:57.670834+00:00,fri14_mon24_hnd_kix_ns,1625.0,United,0,1305,0,690,2027-05-14 10:25,2027-05-15 13:55,0,615,2027-05-24 16:55,2027-05-24 11:10,KIX-SFO,True,serpapi,USD
2026-09-19T17:12:44.289223+00:00,fri14_sun23_hnd_kix,1323.0,United,1,1475,1,860,2027-05-14 08:45,2027-05-15 15:05,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-19T17:12:44.289223+00:00,thu13_sun23_hnd_kix,1323.0,United,1,1475,1,860,2027-05-13 08:45,2027-05-14 15:05,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-19T17:12:44.289223+00:00,fri14_mon24_hnd_kix,1323.0,United,1,1475,1,860,2027-05-14 08:45,2027-05-15 15:05,0,615,2027-05-24 16:55,2027-05-24 11:10,KIX-SFO,True,serpapi,USD
2026-09-19T17:12:44.289223+00:00,fri14_sun23_rt_hnd,1311.0,United,,,1,860,2027-05-14 08:45,2027-05-15 15:05,,,,,,False,serpapi,USD
2026-09-19T17:12:44.289223+00:00,fri14_sun23_rt_hnd_ns,1663.0,United,0,1275,0,690,2027-05-14 10:25,2027-05-15 13:55,0,585,2027-05-23 15:50,2027-05-23 09:35,HND-SFO,True,serpapi,USD
2026-09-19T17:12:44.289223+00:00,fri14_sun23_hnd_kix_ns,1616.0,United,0,1305,0,690,2027-05-14 10:25,2027-05-15 13:55,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-19T17:12:44.289223+00:00,thu13_sun23_hnd_kix_ns,1368.0,United,0,1305,0,690,2027-05-13 10:25,2027-05-14 13:55,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-19T17:12:44.289223+00:00,fri14_mon24_hnd_kix_ns,1616.0,United,0,1305,0,690,2027-05-14 10:25,2027-05-15 13:55,0,615,2027-05-24 16:55,2027-05-24 11:10,KIX-SFO,True,serpapi,USD
2026-09-21T19:19:44.446573+00:00,fri14_sun23_hnd_kix,1323.0,United,1,1475,1,860,2027-05-14 08:45,2027-05-15 15:05,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-21T19:19:44.446573+00:00,thu13_sun23_hnd_kix,1323.0,United,1,1475,1,860,2027-05-13 08:45,2027-05-14 15:05,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-21T19:19:44.446573+00:00,fri14_mon24_hnd_kix,1323.0,United,1,1475,1,860,2027-05-14 08:45,2027-05-15 15:05,0,615,2027-05-24 16:55,2027-05-24 11:10,KIX-SFO,True,serpapi,USD
2026-09-21T19:19:44.446573+00:00,fri14_sun23_rt_hnd,1330.0,United,,,1,860,2027-05-14 08:45,2027-05-15 15:05,,,,,,False,serpapi,USD
2026-09-21T19:19:44.446573+00:00,fri14_sun23_rt_hnd_ns,1654.0,United,0,1275,0,690,2027-05-14 10:25,2027-05-15 13:55,0,585,2027-05-23 15:50,2027-05-23 09:35,HND-SFO,True,serpapi,USD
2026-09-21T19:19:44.446573+00:00,fri14_sun23_hnd_kix_ns,1607.0,United,0,1305,0,690,2027-05-14 10:25,2027-05-15 13:55,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-21T19:19:44.446573+00:00,thu13_sun23_hnd_kix_ns,1368.0,United,0,1305,0,690,2027-05-13 10:25,2027-05-14 13:55,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-21T19:19:44.446573+00:00,fri14_mon24_hnd_kix_ns,1607.0,United,0,1305,0,690,2027-05-14 10:25,2027-05-15 13:55,0,615,2027-05-24 16:55,2027-05-24 11:10,KIX-SFO,True,serpapi,USD
2026-09-23T18:22:04.932637+00:00,fri14_sun23_hnd_kix,1322.0,United,1,1475,1,860,2027-05-14 08:45,2027-05-15 15:05,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-23T18:22:04.932637+00:00,thu13_sun23_hnd_kix,1322.0,United,1,1475,1,860,2027-05-13 08:45,2027-05-14 15:05,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-23T18:22:04.932637+00:00,fri14_mon24_hnd_kix,1322.0,United,1,1475,1,860,2027-05-14 08:45,2027-05-15 15:05,0,615,2027-05-24 16:55,2027-05-24 11:10,KIX-SFO,True,serpapi,USD
2026-09-23T18:22:04.932637+00:00,fri14_sun23_rt_hnd,1330.0,United,,,1,860,2027-05-14 08:45,2027-05-15 15:05,,,,,,False,serpapi,USD
2026-09-23T18:22:04.932637+00:00,fri14_sun23_rt_hnd_ns,1654.0,United,0,1275,0,690,2027-05-14 10:25,2027-05-15 13:55,0,585,2027-05-23 15:50,2027-05-23 09:35,HND-SFO,True,serpapi,USD
2026-09-23T18:22:04.932637+00:00,fri14_sun23_hnd_kix_ns,1607.0,United,0,1305,0,690,2027-05-14 10:25,2027-05-15 13:55,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-23T18:22:04.932637+00:00,thu13_sun23_hnd_kix_ns,1368.0,United,0,1305,0,690,2027-05-13 10:25,2027-05-14 13:55,0,615,2027-05-23 16:55,2027-05-23 11:10,KIX-SFO,True,serpapi,USD
2026-09-23T18:22:04.932637+00:00,fri14_mon24_hnd_kix_ns,1607.0,United,0,1305,0,690,2027-05-14 10:25,2027-05-15 13:55,0,615,2027-05-24 16:55,2027-05-24 11:10,KIX-SFO,True,serpapi,USD
